student_id, study_hours_per_day, attendance_percent, assignment_score, sleep_hours, exam_score
         1,                 4.4,               61.3,               63,         6.6,       63.2
         2,                 9.6,               85.5,               91,         8.4,       94.3
         3,                 7.6,               72.6,               50,         8.7,       78.8
         4,                 6.4,               80.3,               88,         5.3,       81.7
         5,                 2.4,               96.3,               47,         5.8,       60.0
         6,                 2.4,               70.0,               75,         7.7,       54.5
         7,                 1.5,               76.4,               77,         6.4,       55.2
         8,                 8.8,               90.2,               79,         6.0,       90.9
         9,                 6.4,               69.2,               59,         6.2,       69.1
        10,                 7.4,               63.1,               74,         6.3,       75.5
        11,                 1.2,               71.6,               87,         8.4,       51.0
        12,                 9.7,               66.4,               64,         5.5,       73.4
        13,                 8.5,               97.2,               74,         7.8,       85.9
        14,                 2.9,               92.3,               64,         7.2,       57.2
        15,                 2.6,               85.3,               68,         6.2,       59.4
        16,                 2.7,               94.9,               57,         6.7,       59.9
        17,                 3.7,               92.1,               85,         6.0,       73.3
        18,                 5.7,               67.5,               57,         7.4,       58.5
        19,                 4.9,               95.7,               41,         5.3,       74.5
        20,                 3.6,               81.6,               93,         5.0,       57.7
        21,                 6.5,               92.3,               74,         7.5,       72.6
        22,                 2.3,               95.8,               55,         5.8,       55.1
        23,                 3.6,               72.7,              100,         5.3,       70.5
        24,                 4.3,               64.4,               80,         6.6,       59.9
        25,                 5.1,               69.1,               75,         5.2,       64.7
        26,                 8.1,               77.1,               72,         8.5,       79.9
        27,                 2.8,               92.7,               43,         5.1,       57.1
        28,                 5.6,               94.4,               72,         7.3,       73.1
        29,                 6.3,               60.3,               53,         6.8,       63.6
        30,                 1.4,               80.4,               60,         7.7,       56.4
        31,                 6.5,               76.7,               87,         6.3,       81.5
        32,                 2.5,               68.9,               59,         5.6,       41.4
        33,                 1.6,               64.8,               95,         8.9,       63.3
        34,                 9.5,               73.5,               47,         8.4,       84.4
        35,                 9.7,               97.7,               46,         8.4,       89.0
        36,                 8.3,               72.9,               42,         6.0,       70.1
        37,                 3.7,               80.8,               56,         5.2,       63.8
        38,                 1.9,               88.1,               72,         6.2,       58.8
        39,                 7.2,               74.5,               87,         7.1,       68.6
        40,                 5.0,               98.9,               51,         6.3,       72.7
        41,                 2.1,               98.5,               98,         8.3,       74.1
        42,                 5.5,               70.1,               90,         6.1,       71.4
        43,                 1.3,               79.9,               61,         8.9,       52.1
        44,                 9.2,               72.0,               94,         6.8,       76.6
        45,                 3.3,               71.4,               61,         8.4,       57.5
        46,                 7.0,               61.5,               85,         5.8,       85.0
        47,                 3.8,               84.4,               69,         6.6,       56.1
        48,                 5.7,               80.1,               77,         7.8,       68.1
        49,                 5.9,               62.1,               77,         5.6,       65.5
        50,                 2.7,               71.1,               84,         5.5,       54.6
        51,                 9.7,               96.3,               90,         8.9,       95.4
        52,                 8.0,               69.6,               93,         7.9,       89.6
        53,                 9.5,               65.8,               47,         5.2,       70.0
        54,                 9.1,               79.6,               66,         6.6,       81.9
        55,                 6.4,               99.4,               66,         6.7,       79.8
        56,                 9.3,               69.7,               73,         8.0,       78.2
        57,                 1.8,               86.9,               60,         6.0,       48.0
        58,                 2.8,               90.5,               69,         5.7,       62.2
        59,                 1.4,               69.5,               72,         5.3,       57.0
        60,                 3.9,               89.1,               67,         6.7,       67.8
        61,                 4.5,               74.7,               86,         7.8,       67.4
        62,                 3.4,               85.3,               72,         5.2,       61.3
        63,                 8.5,               85.3,               44,         8.7,       80.9
        64,                 4.2,               81.4,               99,         6.8,       74.1
        65,                 3.5,               63.6,              100,         6.0,       55.7
        66,                 5.9,               93.4,               87,         5.4,       68.6
        67,                 2.3,               72.8,               58,         5.7,       43.5
        68,                 8.2,               67.5,               43,         8.7,       75.1
        69,                 1.7,               61.6,               74,         7.6,       55.3
        70,                 9.9,               83.6,               88,         7.1,       91.0
        71,                 8.0,               87.1,               56,         7.6,       79.1
        72,                 2.8,               60.7,               83,         6.7,       55.9
        73,                 1.0,               80.5,               67,         7.9,       54.5
        74,                 8.3,               69.1,               69,         5.2,       77.6
        75,                 7.4,               85.8,               68,         7.3,       85.6
        76,                 7.6,               67.0,               85,         5.6,       67.9
        77,                 7.9,               87.6,               92,         5.5,       70.0
        78,                 1.7,               75.5,               45,         6.4,       47.8
        79,                 4.2,               97.5,               74,         5.4,       63.7
        80,                 2.0,               65.5,               99,         5.4,       56.4
        81,                 8.8,               73.6,               80,         6.2,       76.2
        82,                 6.6,               64.5,               76,         8.9,       62.4
        83,                 4.0,               97.0,               63,         5.7,       64.1
        84,                 1.6,               95.1,               68,         5.1,       49.4
        85,                 3.8,               70.3,               88,         8.1,       71.4
        86,                 3.9,               86.4,               85,         8.2,       71.6
        87,                 7.6,               92.7,               92,         6.4,       86.9
        88,                 6.7,               82.2,               70,         6.9,       77.4
        89,                 9.0,               81.2,               74,         7.6,       88.8
        90,                 5.2,               69.7,               99,         5.2,       71.2
        91,                 2.1,               63.7,               72,         8.8,       51.1
        92,                 7.4,               95.9,               91,         8.5,       80.0
        93,                 7.8,               96.0,              100,         6.0,       81.7
        94,                 6.1,               85.3,               60,         5.1,       69.4
        95,                 7.9,               73.6,               71,         8.7,       66.2
        96,                 5.4,               74.0,               62,         7.0,       71.8
        97,                 5.7,               89.0,               72,         7.2,       64.5
        98,                 4.8,               95.9,               42,         7.7,       73.1
        99,                 1.2,               95.5,               57,         7.5,       56.9
       100,                 2.0,               91.2,               64,         8.8,       63.5
  
